src_ip,dst_ip,protocol,length
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2591
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2563
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5415
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,8526
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
142.251.222.74,192.168.73.128,6,1223
192.168.73.128,142.251.222.74,6,54
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,5702
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2591
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,1466
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,4290
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,2878
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,11063
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,7114
192.168.73.128,142.251.222.74,6,54
142.251.222.74,192.168.73.128,6,47265
